gender,field_choices,health_condition,exam_result
Female,"Education,Natural Science,Business",Visual Impairment,50
Female,"Natural Science,Medicine,Agriculture",Visual Impairment,78
Female,"Medicine,Education",Physical Disability,92
Male,"Computer Science,Business",None,77
Female,"Natural Science,Computer Science",None,84
Female,"Law,Education",Physical Disability,61
Male,"Agriculture,Arts",Physical Disability,84
Female,Medicine,Physical Disability,70
Male,"Computer Science,Engineering",Physical Disability,51
Female,"Arts,Computer Science,Medicine",Visual Impairment,85
Male,"Health Science,Computer Science",Physical Disability,57
Female,Natural Science,Physical Disability,82
Male,"Medicine,Agriculture,Computer Science",Hearing Impairment,76
Male,"Health Science,Law,Medicine",None,98
Male,"Business,Education,Natural Science",Hearing Impairment,57
Male,Computer Science,Physical Disability,52
Male,"Engineering,Social Science,Agriculture",Visual Impairment,89
Female,"Arts,Social Science",Hearing Impairment,55
Male,"Business,Education",Physical Disability,54
Female,"Education,Medicine",Hearing Impairment,69
Female,Computer Science,Hearing Impairment,51
Female,Engineering,Visual Impairment,76
Female,"Social Science,Medicine",Physical Disability,73
Male,Computer Science,Visual Impairment,100
Male,"Natural Science,Medicine,Social Science",Physical Disability,56
Male,"Computer Science,Engineering,Arts",Visual Impairment,92
Male,"Business,Health Science,Agriculture",Physical Disability,53
Female,Social Science,Visual Impairment,59
Female,Sciences,None,95
Female,"Natural Science,Agriculture",Visual Impairment,82
Female,"Natural Science,Engineering,Health Science",Hearing Impairment,51
Female,"Social Science,Agriculture,Arts",Hearing Impairment,54
Male,"Computer Science,Law,Sciences",Visual Impairment,82
Male,"Arts,Engineering",None,56
Male,"Sciences,Arts,Agriculture",Hearing Impairment,78
Female,"Arts,Education,Sciences",Visual Impairment,82
Female,"Computer Science,Social Science,Arts",Hearing Impairment,72
Male,"Social Science,Education,Computer Science",None,52
Male,"Arts,Computer Science,Sciences",Visual Impairment,94
Male,"Law,Computer Science",Physical Disability,90
Female,Engineering,Visual Impairment,66
Female,Engineering,None,57
Male,"Computer Science,Natural Science,Business",Physical Disability,68
Female,"Social Science,Education,Medicine",Hearing Impairment,65
Female,Engineering,None,72
Female,Health Science,Hearing Impairment,80
Male,Sciences,None,62
Female,Law,Visual Impairment,72
Male,"Health Science,Agriculture,Law",Hearing Impairment,91
Female,Agriculture,None,56
Female,"Sciences,Business",Physical Disability,79
Female,"Law,Computer Science,Education",Physical Disability,71
Male,"Engineering,Agriculture",Hearing Impairment,63
Male,"Natural Science,Social Science,Law",None,90
Male,"Law,Agriculture",Visual Impairment,100
Female,"Medicine,Health Science",Hearing Impairment,79
Male,Engineering,Hearing Impairment,64
Female,Health Science,None,87
Male,Computer Science,None,56
Female,Business,Hearing Impairment,56
Female,"Business,Education,Arts",None,54
Female,Education,Visual Impairment,50
Female,Engineering,Visual Impairment,64
Male,"Sciences,Computer Science,Natural Science",Hearing Impairment,60
Male,Sciences,None,96
Male,Health Science,Physical Disability,65
Female,Natural Science,Physical Disability,92
Female,"Agriculture,Natural Science,Sciences",Hearing Impairment,52
Female,"Sciences,Natural Science,Education",Physical Disability,74
Male,Computer Science,Hearing Impairment,87
Female,"Medicine,Social Science,Natural Science",Visual Impairment,54
Female,Computer Science,Visual Impairment,79
Female,Engineering,Visual Impairment,89
Male,"Social Science,Business,Medicine",Hearing Impairment,80
Female,Medicine,None,56
Male,"Computer Science,Health Science,Education",None,76
Male,"Medicine,Social Science,Agriculture",Physical Disability,82
Female,"Medicine,Engineering",Hearing Impairment,72
Male,"Medicine,Social Science,Sciences",Physical Disability,88
Female,"Law,Education,Sciences",None,89
Female,"Education,Arts",None,55
Female,"Business,Arts,Health Science",Visual Impairment,65
Female,Medicine,Visual Impairment,64
Female,Engineering,Hearing Impairment,74
Male,Education,Visual Impairment,64
Male,"Medicine,Law",Hearing Impairment,63
Male,"Business,Arts",Physical Disability,57
Male,Engineering,None,96
Female,Agriculture,Hearing Impairment,62
Female,Arts,None,67
Female,Education,Hearing Impairment,55
Male,"Health Science,Engineering,Computer Science",Visual Impairment,99
Female,"Sciences,Arts,Natural Science",Physical Disability,92
Male,"Medicine,Health Science",Hearing Impairment,64
Male,Agriculture,Visual Impairment,89
Male,Health Science,Visual Impairment,83
Male,Education,Hearing Impairment,55
Female,"Business,Arts",None,69
Female,Business,Physical Disability,73
Female,"Arts,Law,Business",None,60
Male,"Education,Social Science",Visual Impairment,63
Male,Engineering,Hearing Impairment,83
Male,Business,Hearing Impairment,74
Male,Sciences,Visual Impairment,96
Female,Agriculture,Visual Impairment,97
Male,Law,Visual Impairment,68
Female,Health Science,None,59
Male,"Arts,Agriculture,Health Science",Hearing Impairment,58
Male,"Agriculture,Computer Science,Arts",Hearing Impairment,73
Female,"Law,Arts",Visual Impairment,85
Male,"Agriculture,Engineering",Hearing Impairment,91
Male,"Engineering,Law,Arts",None,66
Female,Computer Science,Hearing Impairment,53
Male,"Natural Science,Computer Science,Medicine",Visual Impairment,93
Male,Computer Science,Physical Disability,88
Male,"Computer Science,Business,Arts",Physical Disability,70
Male,"Agriculture,Education",Hearing Impairment,71
Male,Engineering,Hearing Impairment,54
Female,"Natural Science,Business",None,74
Female,Business,Hearing Impairment,72
Female,"Education,Agriculture,Computer Science",Visual Impairment,94
Male,Education,None,71
Male,"Agriculture,Education",None,85
Female,"Engineering,Sciences",Hearing Impairment,57
Female,Arts,Visual Impairment,100
Male,"Health Science,Engineering",None,84
Female,"Arts,Law",Hearing Impairment,81
Male,"Agriculture,Health Science,Medicine",None,86
Female,"Social Science,Sciences",Physical Disability,99
Female,Health Science,Physical Disability,78
Male,Law,Physical Disability,81
Male,Sciences,Visual Impairment,55
Female,"Engineering,Business,Agriculture",Physical Disability,65
Female,"Agriculture,Sciences",Visual Impairment,66
Male,"Computer Science,Arts",Visual Impairment,97
Male,Business,None,92
Female,"Education,Arts",Visual Impairment,77
Male,"Education,Agriculture,Sciences",Visual Impairment,96
Male,"Law,Arts,Education",Physical Disability,58
Male,Business,Hearing Impairment,100
Male,Medicine,Hearing Impairment,64
Male,"Law,Sciences,Social Science",Visual Impairment,88
Female,Sciences,Visual Impairment,99
Female,"Arts,Computer Science,Medicine",Hearing Impairment,86
Female,"Social Science,Sciences",Physical Disability,58
Male,"Health Science,Agriculture",Physical Disability,78
Female,Social Science,Hearing Impairment,55
Male,"Arts,Engineering,Business",None,69
Female,"Social Science,Business,Natural Science",Physical Disability,96
Male,Health Science,Hearing Impairment,56
Female,"Computer Science,Health Science",Hearing Impairment,91
Female,Computer Science,Physical Disability,84
Female,Health Science,Visual Impairment,55
Female,"Natural Science,Education",Physical Disability,70
Female,Business,Visual Impairment,68
Male,Social Science,Physical Disability,59
Female,"Law,Agriculture",Visual Impairment,93
Male,"Arts,Medicine",Physical Disability,61
Female,"Business,Arts",None,99
Male,"Business,Medicine,Computer Science",Hearing Impairment,99
Female,Engineering,Hearing Impairment,97
Female,"Health Science,Social Science,Medicine",None,77
Female,"Engineering,Sciences",Physical Disability,86
Male,"Sciences,Computer Science,Arts",Visual Impairment,90
Female,Health Science,Hearing Impairment,68
Female,"Agriculture,Health Science,Sciences",Visual Impairment,91
Female,"Education,Arts",Visual Impairment,90
Female,Natural Science,None,66
Male,Agriculture,None,60
Female,Health Science,Visual Impairment,74
Female,Social Science,Physical Disability,93
Male,"Computer Science,Engineering",Physical Disability,67
Male,"Arts,Sciences,Health Science",Visual Impairment,96
Male,"Business,Agriculture,Sciences",None,59
Female,Computer Science,Physical Disability,50
Male,"Law,Sciences",Visual Impairment,83
Male,"Computer Science,Health Science,Natural Science",Hearing Impairment,60
Male,"Social Science,Health Science,Sciences",Hearing Impairment,93
Male,Social Science,Hearing Impairment,80
Male,Medicine,Hearing Impairment,72
Male,"Computer Science,Arts,Education",None,97
Male,"Natural Science,Medicine,Social Science",Visual Impairment,100
Male,Natural Science,Hearing Impairment,61
Female,Arts,Visual Impairment,84
Male,"Education,Arts",Physical Disability,55
Male,"Engineering,Arts",Visual Impairment,70
Female,"Medicine,Health Science",Visual Impairment,57
Female,"Health Science,Computer Science,Social Science",Physical Disability,57
Male,Engineering,Physical Disability,68
Male,"Engineering,Agriculture,Business",Physical Disability,58
Male,"Computer Science,Medicine,Natural Science",None,67
Male,"Arts,Medicine",Physical Disability,58
Female,Agriculture,None,100
Female,"Sciences,Computer Science,Engineering",Hearing Impairment,74
Female,"Medicine,Natural Science,Computer Science",Visual Impairment,81
Male,"Agriculture,Natural Science",Hearing Impairment,76
Female,"Law,Education,Health Science",Hearing Impairment,92
Female,Agriculture,None,81
Male,"Engineering,Social Science,Computer Science",Hearing Impairment,93
Male,Business,Hearing Impairment,75
Male,Medicine,Hearing Impairment,88
Male,"Law,Business,Health Science",Physical Disability,64
Female,Business,None,54
Female,"Business,Health Science",Visual Impairment,82
Male,"Education,Law",Physical Disability,74
Female,"Medicine,Agriculture",Physical Disability,85
Female,"Law,Engineering,Arts",None,96
Female,Agriculture,None,83
Female,"Health Science,Agriculture,Engineering",None,94
Female,"Arts,Medicine",Hearing Impairment,60
Male,"Arts,Social Science,Law",Hearing Impairment,61
Female,"Agriculture,Computer Science,Engineering",None,91
Male,"Sciences,Arts,Engineering",Physical Disability,89
Female,"Sciences,Arts,Social Science",Visual Impairment,82
Male,"Agriculture,Natural Science,Sciences",Hearing Impairment,83
Male,Arts,None,91
Male,"Business,Sciences",Physical Disability,95
Female,Law,Hearing Impairment,75
Female,Agriculture,Visual Impairment,83
Male,"Business,Natural Science",None,97
Female,"Sciences,Computer Science",None,64
Male,"Health Science,Law",None,87
Male,Education,Hearing Impairment,91
Male,Engineering,Hearing Impairment,61
Female,"Arts,Social Science,Sciences",Hearing Impairment,59
Female,Health Science,Visual Impairment,58
Male,"Law,Engineering,Business",None,91
Male,"Agriculture,Computer Science",Physical Disability,58
Male,"Natural Science,Sciences,Social Science",Hearing Impairment,88
Female,"Medicine,Sciences",Physical Disability,50
Female,"Arts,Natural Science,Computer Science",None,84
Male,"Education,Computer Science,Engineering",Physical Disability,58
Male,"Computer Science,Business,Law",Hearing Impairment,83
Female,Sciences,None,73
Male,"Social Science,Education",Physical Disability,67
Male,"Education,Arts,Law",Visual Impairment,79
Female,"Law,Agriculture",Physical Disability,92
Female,Education,Physical Disability,89
Female,Medicine,Hearing Impairment,87
Male,Computer Science,None,61
Female,"Agriculture,Sciences,Health Science",Hearing Impairment,99
Female,"Natural Science,Medicine,Education",Physical Disability,78
Female,Law,None,54
Male,"Education,Engineering",Visual Impairment,66
Female,Health Science,None,51
Male,Business,Visual Impairment,64
Male,"Law,Engineering,Business",Hearing Impairment,54
Female,"Computer Science,Engineering",Hearing Impairment,54
Female,"Sciences,Health Science",Hearing Impairment,81
Female,"Computer Science,Education",Visual Impairment,76
Female,"Engineering,Business",Hearing Impairment,98
Male,"Arts,Law,Health Science",Physical Disability,87
Female,"Education,Law,Computer Science",Hearing Impairment,68
Male,"Law,Agriculture,Natural Science",None,92
Male,"Agriculture,Natural Science,Computer Science",Visual Impairment,70
Male,Social Science,Hearing Impairment,60
Female,"Law,Sciences,Business",None,81
Female,Education,Hearing Impairment,61
Female,Health Science,Physical Disability,65
Male,"Natural Science,Law",Visual Impairment,54
Male,"Arts,Medicine,Engineering",Hearing Impairment,50
Male,Sciences,None,66
Female,"Education,Business,Engineering",Physical Disability,67
Male,"Natural Science,Health Science,Social Science",Visual Impairment,85
Male,"Sciences,Medicine",None,77
Female,Social Science,Visual Impairment,79
Male,"Arts,Engineering,Education",Visual Impairment,51
Male,Business,Physical Disability,81
Male,"Sciences,Computer Science,Education",Physical Disability,71
Female,"Arts,Law,Business",None,54
Female,Agriculture,Hearing Impairment,67
Male,"Business,Education,Engineering",Physical Disability,68
Female,"Computer Science,Arts",Visual Impairment,68
Male,Computer Science,Visual Impairment,84
Female,Engineering,Hearing Impairment,100
Female,"Computer Science,Law,Engineering",Physical Disability,55
Male,"Natural Science,Agriculture,Computer Science",Visual Impairment,85
Female,"Medicine,Computer Science,Sciences",Physical Disability,74
Male,"Law,Agriculture",Visual Impairment,97
Female,"Arts,Computer Science,Social Science",Hearing Impairment,50
Male,"Computer Science,Social Science",Hearing Impairment,84
Male,Agriculture,Hearing Impairment,62
Male,Computer Science,Physical Disability,52
Female,"Social Science,Medicine",Visual Impairment,59
Male,"Sciences,Computer Science",Physical Disability,71
Female,"Engineering,Arts",Visual Impairment,52
Female,"Social Science,Education,Arts",Visual Impairment,52
Male,"Business,Engineering,Medicine",Hearing Impairment,91
Female,"Arts,Computer Science",Visual Impairment,78
Male,"Engineering,Health Science",Visual Impairment,82
Male,"Medicine,Health Science",Hearing Impairment,86
Male,Social Science,Hearing Impairment,74
Male,"Natural Science,Business",Hearing Impairment,93
Female,"Social Science,Business",Physical Disability,90
Male,"Social Science,Engineering,Computer Science",Hearing Impairment,85
Male,"Engineering,Sciences,Natural Science",Physical Disability,77
Female,"Agriculture,Engineering",None,64
Female,Medicine,Visual Impairment,55
Female,"Law,Health Science",Hearing Impairment,78
Female,"Agriculture,Arts",Physical Disability,79
Male,Arts,Physical Disability,98
Male,Health Science,Hearing Impairment,62
Male,Education,Hearing Impairment,94
Female,"Natural Science,Agriculture,Engineering",Physical Disability,69
Female,"Agriculture,Education",Physical Disability,97
Female,"Business,Arts,Sciences",Physical Disability,68
Male,"Business,Health Science,Engineering",Hearing Impairment,73
Female,Sciences,Visual Impairment,79
Female,Computer Science,Hearing Impairment,93
Female,"Computer Science,Agriculture,Social Science",None,63
Male,"Social Science,Sciences",Physical Disability,71
Female,Natural Science,Physical Disability,75
Male,"Social Science,Sciences,Law",Physical Disability,100
Male,"Computer Science,Natural Science,Agriculture",Hearing Impairment,91
Female,Social Science,Visual Impairment,54
Female,"Law,Arts",Physical Disability,73
Male,"Business,Medicine,Natural Science",Physical Disability,82
Male,"Health Science,Business,Arts",Physical Disability,93
Female,Sciences,Visual Impairment,87
Male,"Health Science,Computer Science",Visual Impairment,83
Male,Social Science,None,61
Female,"Agriculture,Education,Natural Science",Hearing Impairment,57
Male,"Health Science,Education",None,91
Male,Arts,Hearing Impairment,99
Male,"Natural Science,Computer Science,Law",Hearing Impairment,62
Female,"Medicine,Computer Science",Hearing Impairment,75
Female,"Natural Science,Business,Education",Visual Impairment,66
Female,"Law,Business",Visual Impairment,99
Male,Law,Physical Disability,72
Female,"Medicine,Business,Education",Hearing Impairment,72
Male,Health Science,None,75
Female,"Sciences,Education",Visual Impairment,71
Male,"Computer Science,Sciences",Visual Impairment,63
Female,"Natural Science,Business,Health Science",Hearing Impairment,54
Male,Business,Visual Impairment,72
Female,Computer Science,None,50
Male,Arts,Visual Impairment,80
Male,Education,None,72
Female,"Law,Agriculture",Visual Impairment,73
Male,"Law,Social Science",Visual Impairment,84
Male,"Health Science,Computer Science",Hearing Impairment,64
Female,"Business,Medicine,Law",None,79
Female,"Arts,Sciences",None,94
Male,"Engineering,Business",Visual Impairment,93
Male,"Education,Law,Sciences",Visual Impairment,80
Male,"Education,Engineering,Computer Science",Physical Disability,66
Female,Education,Visual Impairment,99
Male,"Business,Natural Science",Visual Impairment,95
Female,Law,Physical Disability,58
Male,Sciences,Visual Impairment,86
Female,"Law,Education,Computer Science",Visual Impairment,58
Male,"Sciences,Engineering",Physical Disability,68
Male,"Natural Science,Health Science",Hearing Impairment,92
Male,Law,Hearing Impairment,65
Male,"Law,Education",None,83
Male,"Medicine,Education",Hearing Impairment,82
Female,"Education,Business",None,83
Male,"Law,Agriculture",Visual Impairment,76
Female,"Agriculture,Health Science",Visual Impairment,61
Male,"Law,Social Science,Engineering",Physical Disability,90
Female,"Computer Science,Social Science,Sciences",None,51
Male,"Social Science,Natural Science",None,80
Male,"Sciences,Education",Hearing Impairment,76
Female,"Computer Science,Agriculture",Hearing Impairment,50
Female,"Arts,Social Science,Medicine",None,55
Female,"Education,Natural Science,Arts",None,52
Male,"Social Science,Education,Natural Science",Visual Impairment,100
Female,"Health Science,Law",Visual Impairment,86
Female,"Engineering,Sciences",Visual Impairment,96
Male,"Natural Science,Health Science,Social Science",Hearing Impairment,56
Female,"Law,Medicine",Visual Impairment,84
Male,Natural Science,Physical Disability,69
Male,"Medicine,Law",Hearing Impairment,53
Female,"Law,Natural Science,Health Science",None,81
Male,"Health Science,Arts,Computer Science",Visual Impairment,80
Male,"Sciences,Business,Computer Science",Hearing Impairment,58
Male,"Engineering,Sciences,Arts",None,58
Female,"Arts,Business",Physical Disability,60
Female,"Arts,Business,Engineering",None,74
Female,"Natural Science,Engineering",Hearing Impairment,86
Female,"Sciences,Social Science",Hearing Impairment,79
Female,Agriculture,Hearing Impairment,67
Female,Health Science,Hearing Impairment,80
Female,Engineering,Visual Impairment,80
Male,"Sciences,Engineering",Visual Impairment,68
Female,Sciences,Hearing Impairment,66
Female,Social Science,Hearing Impairment,60
Male,"Health Science,Education,Agriculture",None,65
Female,"Engineering,Law",Physical Disability,56
Female,"Business,Sciences,Agriculture",Physical Disability,53
Female,"Medicine,Social Science,Law",Hearing Impairment,55
Male,Health Science,Physical Disability,58
Female,Sciences,Physical Disability,66
Female,Natural Science,None,56
Male,"Agriculture,Social Science,Sciences",None,58
Female,"Agriculture,Social Science,Sciences",Physical Disability,77
Male,"Social Science,Arts",None,86
Female,"Sciences,Natural Science,Computer Science",None,67
Male,"Engineering,Natural Science,Arts",Visual Impairment,87
Female,"Engineering,Arts",Hearing Impairment,91
Male,"Social Science,Law,Computer Science",Visual Impairment,100
Female,"Natural Science,Social Science,Health Science",Visual Impairment,87
Male,"Arts,Social Science",Visual Impairment,69
Male,"Computer Science,Education,Medicine",Physical Disability,95
Male,"Business,Agriculture,Social Science",Physical Disability,59
Female,Arts,Visual Impairment,88
Female,"Engineering,Natural Science",None,61
Female,"Sciences,Medicine",None,66
Female,"Law,Health Science,Education",Visual Impairment,61
Male,Agriculture,Physical Disability,87
Male,"Sciences,Law,Engineering",Visual Impairment,92
Female,Sciences,Visual Impairment,72
Male,"Engineering,Social Science",Visual Impairment,91
Female,"Medicine,Computer Science,Arts",Hearing Impairment,85
Female,"Computer Science,Engineering",Visual Impairment,80
Male,"Business,Social Science,Medicine",Hearing Impairment,59
Female,Law,Physical Disability,63
Male,"Medicine,Health Science,Law",Physical Disability,64
Female,Education,Hearing Impairment,90
Male,"Natural Science,Medicine",Physical Disability,67
Female,Arts,Visual Impairment,89
Female,"Health Science,Education",Visual Impairment,97
Male,"Engineering,Education",Hearing Impairment,100
Male,"Natural Science,Education",Visual Impairment,100
Female,Business,None,84
Male,"Education,Agriculture,Arts",Physical Disability,81
Male,"Law,Computer Science,Arts",Visual Impairment,53
Female,"Agriculture,Engineering",Visual Impairment,58
Female,Sciences,None,69
Female,Social Science,Hearing Impairment,98
Female,"Engineering,Sciences",Hearing Impairment,100
Female,Medicine,Hearing Impairment,71
Female,Medicine,Physical Disability,60
Female,"Health Science,Computer Science,Law",None,90
Male,"Sciences,Social Science,Engineering",Physical Disability,89
Male,"Law,Business",None,86
Male,Sciences,Hearing Impairment,90
Male,Engineering,None,95
Female,Computer Science,Visual Impairment,66
Male,"Education,Business,Engineering",None,57
Female,Social Science,Visual Impairment,52
Male,"Medicine,Computer Science",Visual Impairment,100
Female,Natural Science,None,58
Female,"Engineering,Sciences,Education",Physical Disability,88
Female,Computer Science,Hearing Impairment,60
Female,Social Science,Physical Disability,79
Male,"Social Science,Business",Hearing Impairment,71
Male,"Computer Science,Social Science",Physical Disability,81
Male,Education,None,98
Male,Computer Science,None,79
Male,"Computer Science,Engineering,Business",None,74
Female,Computer Science,None,65
Male,Natural Science,Hearing Impairment,62
Female,"Sciences,Computer Science",Physical Disability,90
Female,"Social Science,Engineering",Visual Impairment,74
Female,Engineering,Hearing Impairment,73
Female,"Natural Science,Agriculture,Computer Science",Physical Disability,92
Female,"Business,Health Science",Physical Disability,61
Male,Natural Science,Visual Impairment,51
Female,Medicine,Hearing Impairment,67
Female,"Social Science,Law,Health Science",None,69
Male,"Business,Health Science,Sciences",None,61
Female,"Business,Agriculture,Engineering",Visual Impairment,94
Male,Computer Science,Hearing Impairment,67
Male,"Medicine,Natural Science,Health Science",Visual Impairment,70
Female,Education,None,58
Female,"Education,Medicine",Physical Disability,94
Male,"Computer Science,Health Science",None,88
Male,"Law,Business",Visual Impairment,86
Female,"Health Science,Business,Sciences",Visual Impairment,77
Male,Sciences,None,79
Male,Arts,Hearing Impairment,60
Male,Engineering,Hearing Impairment,94
Male,Engineering,Visual Impairment,70
Female,"Sciences,Medicine,Natural Science",Visual Impairment,54
Female,Engineering,Hearing Impairment,51
Female,Agriculture,Visual Impairment,84
Female,Health Science,Physical Disability,78
Male,"Sciences,Education,Natural Science",Hearing Impairment,77
Female,"Law,Education",None,61
Male,"Social Science,Sciences,Business",Hearing Impairment,67
Male,"Computer Science,Health Science,Agriculture",Visual Impairment,91
Male,"Education,Sciences,Natural Science",None,76
Male,"Agriculture,Law,Natural Science",None,92
Female,"Health Science,Sciences",None,73
Male,"Medicine,Arts,Natural Science",None,80
Male,"Arts,Law,Business",Visual Impairment,62
Male,"Health Science,Law",None,64
Male,"Education,Agriculture,Social Science",Physical Disability,53
Male,"Business,Health Science,Engineering",None,68
Male,"Education,Arts",None,82
Female,"Engineering,Social Science,Business",None,88
Female,"Health Science,Natural Science,Engineering",None,62
Female,Education,Visual Impairment,55
Male,"Computer Science,Law,Social Science",Physical Disability,78
Female,Natural Science,Hearing Impairment,74
Male,"Law,Arts",Visual Impairment,65
Female,"Social Science,Law,Arts",Visual Impairment,65
Female,"Education,Health Science,Engineering",Hearing Impairment,96
Female,"Business,Law,Medicine",Visual Impairment,56
Female,"Business,Computer Science",Visual Impairment,76
Male,Natural Science,Physical Disability,66
Female,Medicine,Physical Disability,80
Female,Sciences,Visual Impairment,97
Female,"Arts,Agriculture,Business",None,61
Female,"Health Science,Engineering",Physical Disability,95
Male,"Law,Medicine,Business",Physical Disability,58
Female,"Engineering,Natural Science",Physical Disability,98
Male,"Arts,Sciences",Physical Disability,55
Male,"Education,Social Science",None,77
Male,"Arts,Education,Agriculture",Physical Disability,54
Female,Agriculture,Physical Disability,73
Male,"Engineering,Sciences",Physical Disability,72
Female,"Health Science,Sciences,Medicine",Physical Disability,64
Male,"Agriculture,Engineering",Visual Impairment,78
Female,Law,None,84
Female,Social Science,None,69
Male,"Social Science,Law,Natural Science",Hearing Impairment,97
Female,"Natural Science,Education,Health Science",Visual Impairment,96
Female,Computer Science,Visual Impairment,75
Female,"Natural Science,Sciences",None,69
Female,"Agriculture,Arts,Education",Hearing Impairment,92
Male,"Engineering,Law,Education",None,60
Female,"Computer Science,Arts",Visual Impairment,95
Male,"Business,Social Science",Hearing Impairment,80
Male,Medicine,Visual Impairment,58
Female,Health Science,Physical Disability,79
Male,Social Science,None,67
Male,"Social Science,Agriculture",Hearing Impairment,76
Female,Education,None,74
Male,"Medicine,Arts,Health Science",Visual Impairment,50
Female,"Sciences,Engineering,Education",None,62
Female,"Engineering,Arts",Physical Disability,83
Female,"Natural Science,Agriculture,Business",Physical Disability,59
Female,"Computer Science,Business",Physical Disability,69
Male,Education,None,80
Male,"Law,Agriculture",Visual Impairment,55
Female,"Law,Sciences,Health Science",Physical Disability,83
Male,"Agriculture,Law,Computer Science",Physical Disability,59
Male,"Agriculture,Health Science,Sciences",Hearing Impairment,79
Female,Engineering,Visual Impairment,61
Female,"Social Science,Education,Health Science",None,93
Male,"Engineering,Medicine,Arts",Hearing Impairment,63
Female,"Social Science,Arts,Engineering",Physical Disability,94
Male,Sciences,Physical Disability,53
Male,"Natural Science,Arts",Physical Disability,67
Female,"Natural Science,Engineering,Medicine",None,81
Female,"Engineering,Medicine,Education",Hearing Impairment,86
Male,"Agriculture,Computer Science",Physical Disability,51
Male,"Law,Education",Visual Impairment,57
Female,Natural Science,None,64
Female,Business,Physical Disability,94
Female,"Education,Computer Science",Physical Disability,93
Male,"Health Science,Computer Science,Agriculture",Visual Impairment,58
Male,"Health Science,Sciences,Agriculture",Physical Disability,56
Male,Natural Science,Visual Impairment,75
Male,Natural Science,Physical Disability,87
Female,Sciences,None,89
Male,Agriculture,Hearing Impairment,92
Female,"Health Science,Computer Science,Agriculture",None,61
Male,"Law,Agriculture,Business",Visual Impairment,75
Male,"Computer Science,Education",None,79
Female,"Arts,Business",Visual Impairment,86
Male,Sciences,None,97
Male,"Natural Science,Computer Science,Social Science",Hearing Impairment,54
Female,Natural Science,Hearing Impairment,60
Female,"Computer Science,Natural Science",Visual Impairment,63
Female,"Natural Science,Agriculture",None,65
